Displacement_mm,BaseShear_kN
2.999999999999993783e-01,1.994185265595200462e+01
1.999999999999993727e-01,1.286635759284298786e+01
9.999999999999936717e-02,5.790701793201311176e+00
-6.383782391594650107e-16,-1.284796465853307312e+00
-1.000000000000006439e-01,-8.360610110025517017e+00
-2.000000000000006495e-01,-1.543616725341043150e+01
-3.000000000000006550e-01,-2.251133535647083406e+01
-4.000000000000006883e-01,-2.958585742940928398e+01
-5.000000000000006661e-01,-3.665892783658247112e+01
-6.000000000000006439e-01,-4.373247737332324192e+01
-7.000000000000006217e-01,-5.080507617453108793e+01
-8.000000000000005995e-01,-5.787787516320611303e+01
-9.000000000000005773e-01,-6.494871740214043143e+01
-1.000000000000000666e+00,-7.202171195321174935e+01
-1.100000000000000755e+00,-7.909399956398229392e+01
-1.200000000000000844e+00,-8.616590271074186091e+01
-1.300000000000000933e+00,-9.323841888839299941e+01
-1.400000000000001021e+00,-1.003116301691444079e+02
-1.500000000000001110e+00,-1.073855253773597838e+02
-1.600000000000001199e+00,-1.144567636783574471e+02
-1.700000000000001288e+00,-1.215303087659601431e+02
-1.800000000000001377e+00,-1.286040198874418365e+02
-1.900000000000001465e+00,-1.356765849862336211e+02
-2.000000000000001332e+00,-1.427437070829364245e+02
-2.100000000000001421e+00,-1.497640163257613324e+02
-2.200000000000001510e+00,-1.567826358324533373e+02
-2.300000000000001599e+00,-1.637999823316539789e+02
-2.400000000000001688e+00,-1.708167245002582604e+02
-2.500000000000001776e+00,-1.778340592695395799e+02
-2.600000000000001865e+00,-1.848498363454759499e+02
-2.700000000000001954e+00,-1.918645332013668963e+02
-2.800000000000002043e+00,-1.988777010669356287e+02
-2.900000000000002132e+00,-2.058899128573745827e+02
-3.000000000000002220e+00,-2.129021109767721214e+02
-3.100000000000002309e+00,-2.199117084315699913e+02
-3.200000000000002398e+00,-2.269212461167302024e+02
-3.300000000000002487e+00,-2.339296353858178747e+02
-3.400000000000002576e+00,-2.409377250755726152e+02
